Run 1
8.199999999999987, 2716.777777777778, 18, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
8.399999999999986, 2797.9473684210525, 19, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
8.599999999999985, 2857.2, 20, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
8.799999999999985, 2784.285714285714, 21, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
8.999999999999984, 2928.409090909091, 22, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
9.199999999999983, 3018.478260869565, 23, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
9.399999999999983, 3136.2916666666665, 24, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
9.599999999999982, 3041.84, 25, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
9.799999999999981, 3024.923076923077, 26, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
9.99999999999998, 3060.3703703703704, 27, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
10.19999999999998, 3091.3214285714284, 28, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
10.399999999999979, 3030.448275862069, 29, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
10.599999999999978, 2949.3, 30, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
10.799999999999978, 2884.2903225806454, 31, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
10.999999999999977, 2983.5, 32, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
11.199999999999976, 3042.181818181818, 33, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
17.49999999999998, 3130.9411764705883, 34, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
17.69999999999998, 3211.1714285714284, 35, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
17.899999999999984, 3158.5833333333335, 36, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
18.099999999999987, 3178.2972972972975, 37, 1, 1000000000.0, alpha='10', beta='10.0', bound='2.5', crossoverRate='0.4', elitism='0.01', interAttemptRate='2', interMutationRate='0.1', intraMutationRate='0.1', populationSize='500', probBestIndividual='0.6', probReversal='0.75', probSingle='0.33'
