instance,alpha,beta,bound,crossoverRate,elitism,interAttemptRate,interMutationRate,intraMutationRate,populationSize,probBestIndividual,probReversal,probSingle
pr01,114.73686498561548,1.2407225086456957,2.057524746984313,0.6093836338197155,0.0971502331746411,11.38063340365185,0.4343625034716109,0.5751333255487134,446.4345619111896,0.7775868266925229,0.6068101948252413,0.3190441010390025
pr02,82.32472083404276,0.3724162582964744,2.6054966604179586,0.6382088440540257,0.07040039676045418,1.3631590507533005,0.6119069517844935,0.5857728909643622,391.08704306212127,0.7684888154628592,0.5729547788793631,0.4775029913534503
pr03,78.93153586929557,3.5367292410759763,2.1209912724127267,0.7032427289958305,0.07315845980753871,5.901787714799406,0.4853328500966577,0.5721072689991533,219.3602051957073,0.7600552722531361,0.5302318241506969,0.5075416931968707
pr04,133.59814826262055,0.3534236047096027,2.058527391927382,0.8567804530978753,0.09247436858248234,2.569419467657061,0.5684221624683634,0.5366099197068448,281.6374108767324,0.7621225819832037,0.5894955502399969,0.637458560792811
pr05,67.36010576218791,4.401387651772602,1.469757251985594,0.9967604345286307,0.14004886815596415,4.351571895177036,0.6850753999538337,0.5202274634513634,285.2375383574633,0.9030284191028872,0.39920798857177836,0.7658675310383893
pr06,56.474004806979735,8.220785013768245,1.022168905639386,0.9771295446047633,0.13877279600557363,8.344083007151797,0.6407800931367337,0.6122273190831079,247.9917537610312,0.7494156413044406,0.5176077128450789,0.47512694050688065
pr07,92.04514132306429,7.236418888813787,1.635939272162796,0.6313212132117784,0.09644462824455502,1.5222013775345322,0.5773033280240184,0.4300420578489007,505.8512963942186,0.7492583062418727,0.5929180624900515,0.6445485752381395
pr08,93.66814768718324,1.341100074400507,1.7585186980765157,0.9293033899188818,0.1412198801550044,12.089230202930752,0.3849968096142732,0.6383851436946646,279.3867086410088,0.6913369255395085,0.48890160360579876,0.6039145771397393
pr09,92.93126646331979,1.3611669986831774,2.226933263367342,0.7751339781781726,0.06615144488373921,1.576476051170606,0.7688913107698659,0.4870672567077301,405.76057003495157,0.7854315214522403,0.43834781814897733,0.32088243166205777
pr10,107.88436260454034,0.22829357961481214,2.6994321746076535,0.9552749088346589,0.1572715185736732,6.720782390785144,0.3589583302060918,0.6877464814886248,127.06982376626465,0.649570508149563,0.5184998600664573,0.713620239007319
p01,88.90193873985184,0.5039773758958778,2.1249774010977815,0.7872526844271569,0.1134449165744703,2.60598865846976,0.654837025878377,0.742436623498299,518.3510857349861,0.897793673874423,0.45664940570828516,0.5767073820853164
p02,89.91375491895501,0.8344038174970551,2.0940198438124167,0.772500212729969,0.10753673201037468,2.3936719982728216,0.669793098826606,0.5714964115406219,507.64749191615334,0.8797262534794544,0.4529893926434216,0.555760328400465
